artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Los Temerarios,Ahora Pienso Mas en Ti,0Wk9GL93sEFFl19SjrNlxD,54,0.28,0.72,260840,0.501,6.65e-05,3,0.32,-9.564,1,0.033,157.957,4,0.916
Rod Stewart,All for Love,4lsEHglVsLzILTDQ3CNESV,65,0.125,0.51,281200,0.44,0.0,2,0.0994,-11.015,1,0.0293,74.8,4,0.135
Backstreet Boys,I'll Never Break Your Heart,4lq4yY0y3XqDQZsx03ITaH,50,0.0885,0.519,287507,0.589,0.0,7,0.153,-6.005,0,0.029,161.992,3,0.341
Chaka Khan,I'm Every Woman,2M55R2A9IAhLdsCGFj8r8k,60,0.0145,0.537,213267,0.929,0.000618,5,0.188,-4.957,0,0.0446,114.785,4,0.717
Matchbox Twenty,Back 2 Good,64XSAtXpCJUmadm3fkpH4z,52,0.106,0.559,340173,0.504,0.0,7,0.13,-9.455,1,0.0246,89.051,4,0.479
2Pac,Shorty Wanna Be A Thug,4L1aB9H3HGsVstHlOM6Yz6,55,0.00515,0.808,231653,0.716,1.79e-05,4,0.182,-3.774,0,0.0338,90.009,4,0.352
The Wallflowers,6th Avenue Heartache,1qEyqHR1xsj2MC4Qy0dsaI,53,0.0616,0.46,337400,0.854,0.000115,5,0.308,-6.366,1,0.0395,150.185,4,0.539
Korn,A.D.I.D.A.S.,0xgsyoVvRFSYvV5cdtYhX1,56,0.00406,0.334,153600,0.898,0.0202,11,0.162,-6.821,0,0.196,110.364,4,0.226
Café Tacvba,Como te extraño mi amor,6hFHsQWB7HdVrSe7efRR82,67,0.0823,0.791,214880,0.759,4.44e-05,9,0.0993,-5.67,1,0.037,124.725,4,0.917
2Pac,I Ain't Mad At Cha,0ZDcLapel9chZ15ZNuOdD4,55,0.0177,0.749,293667,0.679,9.33e-06,5,0.406,-5.889,0,0.238,85.04,4,0.672
R. Kelly,I Believe I Can Fly,2RzJwBCXsS1VnjDm2jKKAa,59,0.241,0.55,320667,0.444,0.0,7,0.187,-7.588,1,0.0292,120.179,4,0.0438
Clint Black,Like the Rain,5rQcDgz44osyj2rdtuOmPl,50,0.15,0.531,262400,0.439,0.0,9,0.27,-11.492,1,0.0368,79.732,4,0.271
Los Del Rio,Macarena,4oaj36KzXRgDg4McgcTsZK,58,0.422,0.927,249382,0.721,4.36e-05,8,0.0422,-12.561,1,0.0908,103.018,4,0.965
Alan Jackson,Little Bitty,2IY559smG7SXYk229NA2Vl,51,0.151,0.571,158627,0.818,0.0,4,0.348,-6.539,1,0.0415,163.045,4,0.728
Antonio Aguilar,Triste Recuerdo,3omTNIu1KVQyN0Nge2Wb11,57,0.401,0.616,233302,0.466,8.31e-06,10,0.0918,-6.596,1,0.0294,113.454,4,0.929
